No,Team ,Team_Lawan,Goal_Team,Goal_Team_Lawan,Hasil
1,Indonesia,Bahrain,2,2,Imbang
2,Indonesia,Australia,0,0,Imbang
3,Indonesia,Saudia Arabia,1,1,Imbang
4,Indonesia,Philippines,2,0,Menang
5,Indonesia,Iraq,0,2,Kalah
6,Indonesia,Vietnam,3,0,Menang
7,Indonesia,Vietnam,1,0,Menang
8,Indonesia,Philippines,1,1,Imbang
9,Indonesia,Iraq,1,5,Kalah
10,Indonesia,Bruneu Darussalam,6,0,Menang
11,Indonesia,Bruneu Darussalam,6,0,Menang
12,China ,Australia,1,3,Kalah
13,China ,Jepang,0,7,Kalah
14,China ,Singapura,4,1,Menang
15,China ,Singapura,2,2,Imbang
16,China ,Saudia Arabia,1,2,Kalah
17,Indonesia,China,1,1,Imbang
18,Indonesia,China,0,5,Kalah
19,Indonesia,China,0,2,Kalah
20,Indonesia,China,1,5,Kalah